A
Huang, Martin	黄卫总
Huang, Nicole	黄心村
Huang, Philip	黄宗智
Huang, Ray	黃仁宇
Huang, Shizhe	黄师哲
Huang, Shu-min	黄树民
Huang, Xian（Mary Huang）	黄娴
Huang, Yan	黄衍
Huang, Yanzhong	黄严忠
Huang, Yasheng	黄亚生
Hucker, Charles O.	贺凯
Hu-Dehart, Evelyn	胡其瑜
Hulsewe, A. F. P.	何四维
Hummell, Arthur W.	恒慕义
Hung, Chang-tai	洪長泰
Hung, Eva	孔慧怡
Hung, Ling-yu	洪玲玉
Hung, William	洪业
Huntington, Rania	韩瑞亚
Hurst, William	贺斌
Huters, Theodore D.	胡志德
Hwang, Byong-Moo	黄秉沫
 
Hwang, Mei-shu	黃美序
Hymes, Robert	韩明士


I
Idema, Wilt	伊维德
Ikeda, On	池田温
Ikels, Charlotte	艾秀慈
Imura, Tetsuo	井村哲郎
Indrisano, Gregory	尹贵格
Ing, Michael Kaulana	吴荣桂
Inwood, Heather	殷海洁
Iovene, Paola	叶纹
Irick, Robert L.	艾文博
Iriye, Akira	入江昭
Isett, Christopher M.	艾仁民
Israel, John Warren	易社强
Ito, Chuta	伊东忠太
Ivanhoe, Philip J.	艾文贺


J
Jacobs, Bruce	家博
Jacobs, Katrien	余幼薇
Jacka, Tamara	杰华
Jain, Susan P.	简苏珊
Jametel, Maurice	冉黙徳
Jamieson, John	简慕善
Jan, Yun-Hua	冉云华
Jay, Jennifer	谢慧贤
 
Jefferson, Gary H.	谢千里
Jian, Xiaobin	简小斌
Jiang, Changbin	姜长斌
Jiang, Shuyong	蒋树勇
Jiang, Tao	蒋涛
Jiang, Yonglin	姜永琳
Jiang, Yu	江瑜
Jiao, Tianlong	焦天龙
Ji, Fengyuan	纪丰员
Jin, Qiu	金秋
Jing, Anning	景安宁
Johnson, Chalmers	詹隼
Johnson, Dale R.	章道犁
Johnson, David	姜士彬
Johnson, Graham	詹森
Johnson, Matthew D.	蒋迈

Johnston, Alastair Ian	江忆恩
Jones, Andrew F.	安道
Jones, Stephen	钟思第
Jones, William C.	钟威廉（又作琼斯）
Jordan, David K.	焦大卫
