,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,count
3938,Hans H. Frankel,Frankel,Hans H.,傅汉思,傅汉思,傅漢思,,,Frankel, Hans H.,1
3207,Hans Ulrich Vogel,Vogel,Hans Ulrich,傅漢思,傅汉思,傅漢思,,,Vogel, Hans Ulrich,1
961,Hans Hermann Fränkel,Fränkel,Hans Hermann,傅漢思,傅汉思,傅漢思,,,Frankel, Hans Hermann,1
3207,Hans Ulrich Vogel,Vogel,Hans Ulrich,傅漢思,傅汉思,傅漢思,,,Vogel, Hans Ulrich,1
3933,Joseph Fletcher,Fletcher,Joseph,傅礼初,傅礼初,傅禮初,,弗雷泽,Fletcher, Joseph,1
940,Joseph Fletcher,Fletcher,Joseph,傅禮初,傅礼初,傅禮初,, 弗雷澤,Fletcher,Joseph,1
1131,Bennett Gwen,Gwen,Bennett,關玉琳,关玉琳,關玉琳,,,Gwen, Bennett,1
146,Gwen P. Bennett,Bennett,Gwen P.,關玉琳,关玉琳,關玉琳,,,Bennett, Gwen P.,2
3944,Edwin Fung,Fung,Edwin,冯兆基,冯兆基,馮兆基,,,Fung, Edwin,1
990,Edmund Fung,Fung,Edmund,馮兆基,冯兆基,馮兆基,,,Fung, Edmund,1
3924,Judith B. Farquhar,Farquhar,Judith B.,冯珠娣,冯珠娣,馮珠娣,,,Farquhar, Judith B.,1
889,Judith Farquhar,Farquhar,Judith,馮珠娣,冯珠娣,馮珠娣,,,Farquhar, Judith,1
1994,Joan Liu,Liu,Joan,劉麗君,刘丽君,劉麗君,,,Liu, Joan,2
2901,Ruchhira Srisupha,Srisupha,Ruchhira,劉麗君,刘丽君,劉麗君,,,Srisupha, Ruchhira,1
4071,Vasili Mikhailovich Kryukov,Kryukov,Vasili Mikhailovich,刘华夏,刘华夏,劉華夏,,,Kryukov, Vasili Mikhailovich,1
1663,Vassili Kryukov,Kryukov,Vassili,劉華夏,刘华夏,劉華夏,,,Kryukov, Vassili,1
1997,Kwang-ching Liu,Liu,Kwang-ching,劉廣京,刘广京,劉廣京,,,Liu, Kwang-ching,1
4133,Kwang-Ching Liu,Liu,Kwang-Ching,刘广京,刘广京,劉廣京,,,Liu, Kwang-Ching,1
3925,James Farrer,Farrer,James,刘雅格,刘雅格,劉雅格,,,Farrer, James,1
891,James Farrer,Farrer,James,劉雅格,刘雅格,劉雅格,,,Farrer,James,1
4141,Yuet-keung Lo,Lo,Yuet-keung,劳悦强,劳悦强,勞悅強,,,Lo, Yuet-keung,1
2045,Yuet Keung Lo,Lo,Yuet Keung,勞悅強,劳悦强,勞悅強,,,Lo, Yuet Keung,1
216,Howard Lyon Boorman,Boorman,Howard Lyon,包華德,包华德,包華德,,,Boorman, Howard Lyon,1
3768,Howard L. Boorman,Boorman,Howard L.,包华德,包华德,包華德,,,Boorman, Howard L.,1
3775,Cynthia J. Brokaw,Brokaw,Cynthia J.,包筠雅,包筠雅,包筠雅,,,Brokaw, Cynthia J.,1
244,Cynthia Brokaw,Brokaw,Cynthia,包筠雅,包筠雅,包筠雅,,,Brokaw, Cynthia,1
862,Kathleen Erwin,Erwin,Kathleen,區嘉琳,区嘉琳,區嘉琳,,,Erwin,Kathleen,1
3918,Kathleen Erwin,Erwin,Kathleen,区嘉琳,区嘉琳,區嘉琳,,,Erwin, Kathleen,1
4390,James Watson,Watson,James,华琛,华琛,華琛,,屈顺夫,Watson, James,1
3323,James L. Watson,Watson,James L.,華琛,华琛,華琛,, 屈顺夫,Watson, James L.,1
213,James Bonk,Bonk,James,博哲銘,博哲铭,博哲銘,,,Bonk, James,1
265,James Bunk,Bunk,James,博哲銘,博哲铭,博哲銘,,,Bunk, James,1
3783,John P. Burns,Burns,John P.,卜约翰,卜约翰,卜約翰,,,Burns, John P.,1
270,John Pond Burns,Burns,John Pond,卜約翰,卜约翰,卜約翰,,,Burns, John Pond,1
4154,Sheri A Lullo,Lullo,Sheri A,卢诗蕊,卢诗蕊,盧詩蕊,,,Lullo, Sheri A,1
2097,Sheri A. Lullo,Lullo,Sheri A.,盧詩蕊,卢诗蕊,盧詩蕊,,,Lullo, Sheri A.,1
3398,John E. Wills,Wills,John E.,衛思韓,卫思韩,衛思韓,,,Wills, John E.,1
4408,John E. Jr. Wills,Wills,John E. Jr.,卫思韩,卫思韩,衛思韓,,,Wills, John E. Jr.,1
4061,Paize C. Keulemans,Keulemans,Paize C.,古柏,古柏,古柏,,,Keulemans, Paize C.,1
1563,Pieter Keulemans,Keulemans,Pieter,古柏,古柏,古柏,,,Keulemans, Pieter,1
2726,Benjamin I. Schwartz,Schwartz,Benjamin I.,史華慈,史华慈,史華慈,,,Schwartz, Benjamin I.,1
4266,Benjamine Schwartz,Schwartz,Benjamine,史华慈,史华慈,史華慈,,,Schwartz, Benjamine,1
2895,Jonathan Dermot Spence,Spence,Jonathan Dermot,史景遷,史景迁,史景遷,,,Spence, Jonathan Dermot,1
4306,Jonathan D. Spence,Spence,Jonathan D.,史景迁,史景迁,史景遷,,,Spence, Jonathan D.,1
4267,Gregory A. Scott,Scott,Gregory A.,史瑞戈,史瑞戈,史瑞戈,,,Scott, Gregory A.,1
2730,Gregory Adam Scott,Scott,Gregory Adam,史瑞戈,史瑞戈,史瑞戈,,,Scott, Gregory Adam,1
4290,Sergei Mikhailovich Shirokogoroff,Shirokogoroff,Sergei Mikhailovich,史禄国,史禄国,史祿國,,,Shirokogoroff, Sergei Mikhailovich,1
2811,Sergei M. Shirokogoroff,Shirokogoroff,Sergei M.,史祿國,史禄国,史祿國,,,Shirokogoroff, Sergei M.,1
3594,Wai Lim Yip,Yip,Wai Lim,葉維廉,叶维廉,葉維廉,,,Yip, Wai Lim,1
4452,Wai-lim Yip,Yip,Wai-lim,叶维廉,叶维廉,葉維廉,,,Yip, Wai-lim,1
2910,Kristin Stapleton,Stapleton,Kristin,司昆侖,司昆仑,司昆侖,,,Stapleton, Kristin,1
4308,Kristin Stapleton,Stapleton,Kristin,司昆仑,司昆仑,司崑崙,,,Stapleton, Kristin,2
4275,Paul L-M. Serruys,Serruys,Paul L-M.,司礼义,司礼义,司禮義,,,Serruys, Paul L-M.,1
2750,Paul L.M. Serruys,Serruys,Paul L.M.,司禮義,司礼义,司禮義,,,Serruys, Paul L.M.,1
2856,Richard Joseph Smith,Smith,Richard Joseph,司馬富,司马富,司馬富,,,Smith, Richard Joseph,1
4300,Richard Smith,Smith,Richard,司马富,司马富,司馬富,,,Smith, Richard,1
3601,Yoshiko Yoshimura,Yoshimura,Yoshiko,吉村敬子,吉村敬子,吉村敬子,,,Yoshimura, Yoshiko,1
4453,Yoshimura Yoshiko,Yoshiko,Yoshimura,吉村敬子,吉村敬子,吉村敬子,,,Yoshiko, Yoshimura,1
3488,Yuanli Wu,Wu,Yuanli,吳元黎,吴元黎,吳元黎,,,Wu, Yuanli,1
4419,Yuan-li Wu,Wu,Yuan-li,吴元黎,吴元黎,吳元黎,,,Wu, Yuan-li,1
591,Kai-wing Chow,Chow,Kai-wing,周啟榮,周启荣,周啟榮,,,Chow, Kai-wing,1
3847,Kai-wing Chow,Chow,Kai-wing,周启荣,周启荣,周啓榮,,,Chow, Kai-wing,1
586,Ping Chou,Chou,Ping,周平,周平,周平,,,Chou,Ping,1
3845,Ping Chou,Chou,Ping,周平,周平,周平,,,Chou, Ping,1
584,Ju-hsi Chou,Chou,Ju-hsi,周汝式,周汝式,周汝式,,,Chou, Ju-hsi,1
3844,Ju-shi Chou,Chou,Ju-shi,周汝式,周汝式,周汝式,,,Chou, Ju-shi,1
3843,Hsun-hsin Chou,Chou,Hsun-hsin,周舜莘,周舜莘,周舜莘,,,Chou, Hsun-hsin,1
583,Hsun-hsin Chou,Chou,Hsun-hsin,周舜莘,周舜莘,周舜莘,,,Chou,Hsun-hsin,1
588,Shun-hsin Chou,Chou,Shun-hsin,周舜莘,周舜莘,周舜莘,,,Chou, Shun-hsin,1
588,Shun-hsin Chou,Chou,Shun-hsin,周舜莘,周舜莘,周舜莘,,,Chou, Shun-hsin,1
3842,Chi-p’ing Chou,Chou,Chi-p’ing,周质平,周质平,周質平,,,Chou, Chi-p’ing,1
580,Chih-p’ing Chou,Chou,Chih-p’ing,周質平,周质平,周質平,,,Chou, Chih-p’ing,1
3841,Adam Chou,Chou,Adam,周越,周越,周越,,,Chou, Adam,1
3811,Adam Chau,Chau,Adam,周越,周越,周越,,,Chau, Adam,1
404,Adam Yuet Chau,Chau,Adam Yuet,周越,周越,周越,,,Chau, Adam Yuet,1
3811,Adam Chau,Chau,Adam,周越,周越,周越,,,Chau, Adam,1
864,Joseph Wharton Esherick,Esherick,Joseph Wharton,周錫瑞,周锡瑞,周錫瑞,,,Esherick, Joseph Wharton,1
3920,Joseph Esherick,Esherick,Joseph,周锡瑞,周锡瑞,周錫瑞,,,Esherick, Joseph,1
2229,Thomas Menzger,Menzger,Thomas,墨子刻,墨子刻,墨子刻,,,Menzger, Thomas,2
2234,Thomas A. Metzger,Metzger,Thomas A.,墨子刻,墨子刻,墨子刻,,,Metzger, Thomas A.,1
1315,R. Po-chia Hsia,Hsia,R. Po-chia,夏伯嘉,夏伯嘉,夏伯嘉,,,Hsia, R. Po-chia,1
4013,Ronnie Po-chia Hsia,Hsia,Ronnie Po-chia,夏伯嘉,夏伯嘉,夏伯嘉,,,Hsia, Ronnie Po-chia,1
4292,Patricia A. Sieber,Sieber,Patricia A.,夏颂,夏颂,夏頌,,,Sieber, Patricia A.,1
2825,Patricia Sieber,Sieber,Patricia,夏頌,夏颂,夏頌,,,Sieber, Patricia,1
669,William G. Crowell,Crowell,William G.,孔為廉,孔为廉,孔為廉,,,Crowell, William G.,1
3872,William G. Crowell,Crowell,William G.,孔为廉,孔为廉,孔爲廉,,,Crowell, William G.,1
638,Warren I. Cohen,Cohen,Warren I.,孔華潤,孔华润,孔華潤,,,Cohen, Warren I.,1
3860,Warren Cohen,Cohen,Warren,孔华润,孔华润,孔華潤,,,Cohen, Warren,1
3858,Jerome A. Cohen,Cohen,Jerome A.,孔杰荣,孔杰荣,孔傑榮,,柯恩,Cohen, Jerome A.,1
635,Jerome Alan Cohen,Cohen,Jerome Alan,孔傑榮,孔杰荣,孔傑榮,, 柯恩,Cohen, Jerome Alan,1
4073,Philip Kuhn,Kuhn,Philip,孔飞力,孔飞力,孔飛力,,孔复礼,Kuhn, Philip,1
1675,Philip A. Kuhn,Kuhn,Philip A.,孔飛力,孔飞力,孔飛力,,,Kuhn, Philip A.,1
372,Kang-i Sun Chang,Chang,Kang-i Sun,孫康宜,孙康宜,孫康宜,,,Chang, Kang-i Sun,1
2962,Kang-i Sun,Sun,Kang-i,孫康宜,孙康宜,孫康宜,Kang-i Sun Chang,,Sun, Kang-i,2
2308,David Mungello,Mungello,David,孟德衛,孟德卫,孟德衛,,,Mungello, David,1
4189,David E. Mungello,Mungello,David E.,孟德卫,孟德卫,孟德衛,,,Mungello, David E.,1
4190,Donald J. Munro,Munro,Donald J.,孟旦,孟旦,孟旦,,,Munro, Donald J.,1
2309,Donald Jacques Munro,Munro,Donald Jacques,孟旦,孟旦,孟旦,,,Munro, Donald Jacques,1
3953,Donald A. Gibbs,Gibbs,Donald A.,季博思,季博思,季博思,,,Gibbs, Donald A.,1
1037,Donald A. Gibbs,Gibbs,Donald A.,季博思,季博思,季博思,,,Gibbs,Donald A.,1
1042,Annick Gijsbers,Gijsbers,Annick,安妮,安妮,安妮,,,Gijsbers, Annick,1
2552,Anne Rebull,Rebull,Anne,安妮,安妮,安妮,,,Rebull, Anne,1
1111,Anna Gryszkiewicz,Gryszkiewicz,Anna,安娜,安娜,安娜,,,Gryszkiewicz, Anna,1
2630,Anna Rudakowska,Rudakowska,Anna,安娜,安娜,安娜,,,Rudakowska, Anna,1
3738,Julia Andrews,Andrews,Julia,安雅兰,安雅兰,安雅蘭,,,Andrews, Julia,1
47,Julia F. Andrews,Andrews,Julia F.,安雅蘭,安雅兰,安雅蘭,,,Andrews, Julia F.,1
3739,Stephen C. Angle,Angle,Stephen C.,安靖如,安靖如,安靖如,,,Angle, Stephen C.,1
52,Stephen Angle,Angle,Stephen,安靖如,安靖如,安靖如,,,Angle, Stephen,1
4305,weijie Song,Song,weijie,宋伟杰,宋伟杰,宋偉傑,,,Song, weijie,1
2885,Weijie Song,Song,Weijie,宋偉傑,宋伟杰,宋偉傑,,,Song, Weijie,1
1445,J. Bruce Jacobs,Jacobs,J. Bruce,家博,家博,家博,,,Jacobs, J. Bruce,1
4042,Bruce Jacobs,Jacobs,Bruce,家博,家博,家博,,,Jacobs, Bruce,1
4070,Jon Kowallis,Kowallis,Jon,寇致铭,寇致铭,寇致銘,,,Kowallis, Jon,1
1642,Jon Eugene von Kowallis,Kowallis,Jon Eugene von,寇致銘,寇致铭,寇致銘,,,Kowallis, Jon Eugene von,1
1428,Gregory Indrisano,Indrisano,Gregory,尹貴格,尹贵格,尹貴格,,,Indrisano, Gregory,1
4035,Gregory Indrisano,Indrisano,Gregory,尹贵格,尹贵格,尹貴格,,,Indrisano,  Gregory,1
4199,Bent Nielsen,Nielsen,Bent,尼尔森,尼尔森,尼爾森,,,Nielsen, Bent,1
3752,Nielsen Bent,Bent,Nielsen,尼尔森,尼尔森,尼爾森,,,Bent, Nielsen,1
2432,Edward H. Parker,Parker,Edward H.,莊延齡,庄延龄,莊延齡,,,Parker, Edward H.,1
4211,E.H. Parker,Parker,E.H.,庄延龄,庄延龄,莊延齡,,,Parker, E.H.,1
1674,Dieter Kuhn,Kuhn,Dieter,庫恩,库恩,庫恩,,,Kuhn, Dieter,1
4072,Franz W. Kuhn,Kuhn,Franz W.,库恩,库恩,庫恩,,,Kuhn, Franz W.,1
1517,Harold Kahn,Kahn,Harold,康無為,康无为,康無為,,,Kahn, Harold,1
4054,Harold Kahn,Kahn,Harold,康无为,康无为,康無爲,,,Kahn, Harold,1
1543,Paul R. Katz,Katz,Paul R.,康豹,康豹,康豹,,,Katz, Paul R.,1
4058,Paul Katz,Katz,Paul,康豹,康豹,康豹,,,Katz, Paul,1
1616,David R. Knechtges,Knechtges,David R.,康達維,康达维,康達維,,,Knechtges, David R.,2
1647,David Knechtges,Knechtges,David,康達維,康达维,康達維,,,Knechtges, David,1
383,Teh-kuang Chang,Chang,Teh-kuang,張德光,张德光,張德光,,,Chang, Teh-kuang,1
3805,The-kuang Chang,Chang,The-kuang,张德光,张德光,張德光,,,Chang, The-kuang,1
378,Parris H. Chang,Chang,Parris H.,張旭成,张旭成,張旭成,,,Chang, Parris H.,1
3803,Parris Hsu-cheng Chang,Chang,Parris Hsu-cheng,张旭成,张旭成,張旭成,,,Chang, Parris Hsu-cheng,1
4019,Immanuel C. Y. Hsu,Hsu,Immanuel C. Y.,徐中约,徐中约,徐中約,,,Hsu, Immanuel C. Y.,1
1341,Immanuel Chung-yueh Hsu,Hsu,Immanuel Chung-yueh,徐中約,徐中约,徐中約,,,Hsu, Immanuel Chung-yueh,1
843,Shuang Xu El Abed,El Abed,Shuang Xu,徐爽,徐爽,徐爽,,,El Abed, Shuang Xu,1
3511,Shuang Xu,Xu,Shuang,徐爽,徐爽,徐爽,,,Xu, Shuang,1
4401,Martin K. Whyte,Whyte,Martin K.,怀默霆,怀默霆,懷默霆,,,Whyte, Martin K.,1
3376,Martin King Whyte,Whyte,Martin King,懷默霆,怀默霆,懷默霆,,,Whyte, Martin King,1
3153,Christian Utz,Utz,Christian,思想悟子,思想悟子,思想悟子,,,Utz , Christian,1
4359,Christian Utz,Utz,Christian,思想悟子,思想悟子,思想悟子,,,Utz, Christian,1
4030,Arthur W. Hummell,Hummell,Arthur W.,恒慕义,恒慕义,恆慕義,,,Hummell, Arthur W.,1
1404,Arthur W. Hummel,Hummel,Arthur W.,恆慕義,恒慕义,恆慕義,,,Hummel,Arthur W.,1
3879,Weiqun Dai,Dai,Weiqun,戴为群,戴为群,戴爲羣,,,Dai, Weiqun,1
