Chiang， Sing-chen Lydia,蔣興珍
Chiang， Wen-yu,江文瑜
Chiang， Yung-chen,江勇振
Chiao， Peggy,焦雄屏
Chiasson， Blaine,柴國松
Chien， Cecilia Lee-fang,錢立方
Chien， Edward T.,錢新祖
Chikusa， Masaaki,竺沙雅章
Childs-Johnson， Elizabeth,江伊莉
Chin， Aili S.,沈愛麗
Chin， Annping,金安平
Chin， Carol C.,陳銓樂
Chin， Hsuen Wei,陳雪薇
Chin， James K.,錢江
Chin， Robert,陳有立
Chin， Tamara,秦大倫
Chin， Yee Wah,甄義華
Ching， Julia,秦家懿
Chiou， Fang-yi,邱訪義
Chiou-Peng， Tzehuey,邱茲惠
Chipman， Elana,秦琳珍
Chipman， John,齊普曼
Chirkova， Ekaterina Yurievna,齊卡佳
Chittick， Andrew,戚安道
Chiu， Cathy,邱冬銀
Chiu， Haiyuan,瞿海源
Chiu， Hungdah,邱宏達
Chiu， Julie,趙茱莉
Chiu， Ling-yeong,趙令揚
Chiu， Jenping,邱任丙
Chiu， Sin Ming,趙善鳴
Chiu， Tzu-hsiu Beryl,邱子修
Chiu， Tzu-Lung,邱子倫
Chiu-Duke， Josephine,丘慧芬
Chiung， Wi-vun Taiffalo,蔣為文
Cho， Sungwu,趙晟佑
Choi， Dae Seok,崔大錫
Chong， Foon Yee,張鳳如
Chong， Ja Ian,莊嘉穎
Chong， Keng How,張敬豪
Chong， Kim-chong,莊錦章
Chong， Shue Ling,張雪琳
Choo， Jessey J.C.,朱雋琪
Choong， Yoke Meei,宗玉媺
Chou， Chih-p’ing,周質平
Chou， Diana Yeongchau,周永昭
Chou， Eva Shan,周杉
Chou，Hsun-hsin,周舜莘
Chou， Ju-hsi,周汝式
Chou， Katherine Hui-Ling,周慧玲
Chou，Ping,周平
Chou， Whei-ming,周惠民
Chou， Shun-hsin,周舜莘
Chou， Stephen S.,周善策
Chow， Eileen Cheng-yin,周成蔭
Chow， Kai-wing,周啟榮
Chow， Rey,周蕾
Chow， Sheryl Man-ying,周敏盈
Chow， Tse-tsung,周策縱
Christensen， Lars Bo,李博賢
Christensen， Thomas,柯慶生
Christian， Matthias,田默迪
Christiana， Elisa,李秀珍
Chu， Chauncey,屈承熹
Chu， Cindy Yik-yi,朱益宜
Chu， Hung-lam,朱鴻林
Chu， Kun-liang,邱坤良
Chu， Manni,朱曼妮
Chu， Ming-kin,朱銘堅
Chu， Ping-yi,祝平一
Chu， Ron-guey,朱榮貴
Chu， Shiuon,徐兆安
Chu， Tung-tsu,瞿同祖
Chu， Wen-djang,朱文長
Chuang， John B.,莊慶信
Chun， Hong Chul,全弘哲
Chun， Tarryn Li-Min,陳琍敏
Chung， Chi-nien,鍾基年
Chung， Chien-peng,鍾健平
Chung， Eva Yuen-wah,鍾元華
Chung， Paul S.,鍾竹林
Chung， Priscilla,秦家德
Church， Sally,程思麗
Cieciura， Włodzimierz,齊惟慎
Clark， Anthony E.,柯學斌
Clark， Hugh R.,柯胡
Clark， Keith,孔斯宸
Clarke， Donald C.,郭丹青
Clarke， Jeremy,柯傑明
Clart， Philip,柯若樸
Cleaves， Francis W.,柯立夫
Clifford， Timothy,柯靖銘
Clinton， Margaret,柯立梅
Clunas， Craig,柯律格
Coblin， W. South ,柯蔚南
Cochran， Sherman,高家龍
Cochrane， John D.,柯楚蘭
Cockel， Nian-tzu Cheng,程念慈
Cohen， David,高德
Cohen， Jerome Alan,孔傑榮  / 柯恩
Cohen， Paul,柯文
Cohen， Paul Andrew,孔寶榮
Cohen， Warren I.,孔華潤
Collani， Claudia von,柯蘭霓
Combs， Matthew T.,李皓天
Conceison， Claire A.,康開麗
Cone， Tiffany,媞福
Conner， Allison,康雅信
Conrady， August,孔好古
Constable， Nicole,郭思嘉
Constant， Frédéric,梅凌寒
Contag， Victoria,孔達
Cook， Constance A.,柯鶴立
Cook， Francis H. ,曲克
Cook， Scott,顧史考
Cooper， Eugene,顧尤勤
Copp， Paul,柏剛
Copper， John F.,康培莊
Corcuff， Stéphane,高格孚
Cordier， Henri,高第
Corsi， Elisabetta,伊麗
Couling， Samuel,庫壽齡
Courmont， Barthélémy,庫赫蒙
Coutinho， Steve,孔思腾，康思藤
