,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
321,Arthur Frederick Wright,Wright,Arthur Frederick,芮沃寿,芮沃寿,芮沃壽,0,0,Wright,Arthur Frederick,1913.0,1976.0,0,0,10
322,David C. Wright,Wright,David C.,赖大卫,赖大卫,賴大衛,0,0,Wright, David C.,0.0,0.0,0,0,10
323,David Curtis Wright,Wright,David Curtis,賴大衛,赖大卫,賴大衛,0,0,Wright, David Curtis,0.0,0.0,0,0,10
325,Mary C. Wright,Wright,Mary C.,芮玛丽,芮玛丽,芮瑪麗,0,0,Wright, Mary C.,0.0,0.0,0,0,10
326,Mary Clabaugh Wright,Wright,Mary Clabaugh,芮瑪麗,芮玛丽,芮瑪麗,0,0,Wright, Mary Clabaugh,0.0,0.0,0,0,10
369,John T. Wixted,Wixted,John T.,魏世德,魏世德,魏世德,0,0,Wixted, John T.,0.0,0.0,0,0,10
370,John Timothy Wixted,Wixted,John Timothy,魏世德,魏世德,魏世德,0,0,Wixted, John Timothy,0.0,0.0,0,0,10
381,Thomas A. Wilson,Wilson,Thomas A.,魏伟森,魏伟森,魏偉森,0,0,Wilson,Thomas A.,0.0,0.0,美国,0,10
382,Thomas A. Wilson,Wilson,Thomas A.,魏偉森,魏伟森,魏偉森,0,0,Wilson, Thomas A.,0.0,0.0,0,0,10
383,John E. Wills,Wills,John E.,衛思韓,卫思韩,衛思韓,0,0,Wills, John E.,0.0,0.0,0,0,10
384,John E. Jr. Wills,Wills,John E. Jr.,卫思韩,卫思韩,衛思韓,0,0,Wills, John E. Jr.,0.0,0.0,0,0,10
386,Crispin Williams,Williams,Crispin,魏克彬,魏克彬,魏克彬,0,0,Williams, Crispin,0.0,0.0,0,0,20
387,Crispin Williams,Williams,Crispin,魏克彬,魏克彬,魏克彬,0,0,Williams,Crispin,0.0,0.0,美国,0,10
393,Endymion Wilkinson,Wilkinson,Endymion,魏根深,魏根深,魏根深,0,0,Wilkinson, Endymion,0.0,0.0,0,0,20
394,Endymion Wilkinson,Wilkinson,Endymion,魏根深,魏根深,魏根深,0,0,Wilkinson,Endymion,1941.0,0.0,英国,0,10
395,Hellmut Wilhelm,Wilhelm,Hellmut,卫德明,卫德明,衛德明,0,0,Wilhelm, Hellmut,0.0,0.0,0,0,20
396,Helmut Wilhelm,Wilhelm,Helmut,卫德明,卫德明,衛德明,0,0,Wilhelm,Helmut,1905.0,1990.0,德国,传教士,10
