,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数,异文
3678,Shu-hsien Liu,Liu,Shu-hsien,刘述先,刘述先,劉述先,0,0,Liu,Shu-hsien,0,0,0,0,10,Shu-hsien Liu
1679,Sida Liu,Liu,Sida,刘思达,刘思达,劉思達,0,0,Liu, Sida,0,0,0,0,10,
1681,Tao Tao Liu,Liu,Tao Tao,劉陶陶,刘陶陶,劉陶陶,0,0,Liu, Tao Tao,0,0,0,0,10,
1677,Shi-yee Liu,Liu,Shi-yee,刘晞仪,刘晞仪,劉晞儀,0,0,Liu, Shi-yee,0,0,0,0,10,
1653,Hsiang-kwang Liu,Liu,Hsiang-kwang,刘祥光,刘祥光,劉祥光,0,0,Liu, Hsiang-kwang,0,0,0,0,20,
1691,Xiaohong Liu,Liu,Xiaohong,刘晓弘,刘晓弘,劉曉弘,0,0,Liu, Xiaohong,0,0,0,0,20,
1673,Philip Hsiaopong Liu,Liu,Philip Hsiaopong,劉曉鵬,刘晓鹏,劉曉鵬,0,0,Liu, Philip Hsiaopong,0,0,0,0,10,
1692,Xiaoyuan Liu,Liu,Xiaoyuan,刘晓原,刘晓原,劉曉原,0,0,Liu, Xiaoyuan,0,0,0,0,20,
1694,Xinmin Liu,Liu,Xinmin,刘辛民,刘辛民,劉辛民,0,0,Liu, Xinmin,0,0,0,0,20,
1693,Xin Liu,Liu,Xin,刘新,刘新,劉新,0,0,Liu, Xin,0,0,0,0,20,
3679,Xun Liu,Liu,Xun,刘迅,刘迅,劉迅,0,0,Liu, Xun,0,0,0,0,10,Xun Liu
1641,Cary Y. Liu,Liu,Cary Y.,刘怡玮,刘怡玮,劉怡瑋,0,0,Liu, Cary Y.,0,0,0,0,20,
1696,Yinxing Liu,Liu,Yinxing,劉蔭惺,刘荫惺,劉蔭惺,0,0,Liu, Yinxing,0,0,0,0,10,
1695,Yingsheng Liu,Liu,Yingsheng,劉迎勝,刘迎胜,劉迎勝,0,0,Liu, Yingsheng,0,0,0,0,10,
1657,Jennifer Liu,Liu,Jennifer,劉珍妮,刘珍妮,劉珍妮,0,0,Liu, Jennifer,0,0,0,0,10,
1697,Zhen Liu,Liu,Zhen,劉震,刘震,劉震,0,0,Liu, Zhen,0,0,0,0,10,
1699,Zhiwei Liu,Liu,Zhiwei,劉志偉,刘志伟,劉志偉,0,0,Liu, Zhiwei,0,0,0,0,10,
1698,Zhiqiang Liu,Liu,Zhiqiang,刘智强,刘智强,劉智強,0,0,Liu, Zhiqiang,0,0,0,0,10,
1656,James T.C. Liu,Liu,James T.C.,刘子健,刘子健,劉子健,0,0,Liu, James T.C.,0,0,0,0,20,
1684,Ts’un-yan Liu,Liu,Ts’un-yan,柳存仁,柳存仁,柳存仁,0,0,Liu, Ts’un-yan,0,0,0,0,20,
1675,Ruomei Liu,Liu,Ruomei,柳若梅,柳若梅,柳若梅,0,0,Liu, Ruomei,0,0,0,0,10,
1687,Weijian Liu,Liu,Weijian,柳維堅,柳维坚,柳維堅,0,0,Liu, Weijian,0,0,0,0,10,
1690,Wu-chi Liu,Liu,Wu-chi,柳無忌,柳无忌,柳無忌,0,0,Liu, Wu-chi,0,0,0,0,10,
1639,Christopher M. Livaccari,Livaccari,Christopher M.,李克立,李克立,李克立,0,0,Livaccari, Christopher M.,0,0,0,0,10,
1638,Regina Llamas,Llamas,Regina,雷伊娜,雷伊娜,雷伊娜,0,0,Llamas, Regina,0,0,0,0,10,
1637,Geoffrey Ernest Richard Lloyd,Lloyd,Geoffrey Ernest Richard,羅界,罗界,羅界,0,0,Lloyd, Geoffrey Ernest Richard,0,0,0,0,10,
3676,Yuet Keung Lo,Lo,Yuet Keung,勞悅強,劳悦强,勞悅強,0,0,Lo, Yuet Keung,0,0,0,0,10,Yuet-keung Lo
1629,Dic Lo,Lo,Dic,卢荻,卢荻,盧荻,0,0,Lo, Dic,0,0,0,0,10,
1627,Andrew H.B. Lo,Lo,Andrew H.B.,卢庆滨,卢庆滨,盧慶濱,0,0,Lo, Andrew H.B.,0,0,0,0,20,
1634,Vai Io Lo,Lo,Vai Io,罗惠瑶,罗惠瑶,羅惠瑤,0,0,Lo, Vai Io,0,0,0,0,10,
1631,Jung-pang Lo,Lo,Jung-pang,罗荣邦,罗荣邦,羅榮邦,0,0,Lo, Jung-pang,0,0,0,0,20,
1633,Shih-lung Lo,Lo,Shih-lung,羅仕龍,罗仕龙,羅仕龍,0,0,Lo, Shih-lung,0,0,0,0,10,
1635,Vivienne Lo,Lo,Vivienne,罗维前,罗维前,羅維前,0,0,Lo, Vivienne,0,0,0,0,20,
1636,Winston Lo,Lo,Winston,罗文,罗文,羅文,0,0,Lo, Winston,0,0,0,0,20,
1630,Irving Yucheng Lo,Lo,Irving Yucheng,罗郁正,罗郁正,羅鬱正,0,0,Lo, Irving Yucheng,0,0,0,0,20,
1628,Chih-Cheng Lo,Lo,Chih-Cheng,羅致政,罗致政,羅致政,0,0,Lo, Chih-Cheng,0,0,0,0,10,
1632,Ming-cheng Lo,Lo,Ming-cheng,駱明正,骆明正,駱明正,0,0,Lo, Ming-cheng,0,0,0,0,10,
